problem_id,theorem_name,goal_text,vector
"Erdos_595","erdos_595","answer(sorry) ↔ ∃ (V : Type*) (_ : Infinite V) (G : SimpleGraph V), G.CliqueFree 4 ∧ ¬IsCountableUnionOfTriangleFree G","0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0.280056|0.140028|0|0.140028|0.280056|0.280056|0|0.140028|0|0.140028|0|0.140028|0.140028|0|0.280056|0.140028|0.140028|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_61","erdos_61","answer(sorry) ↔ ∀ {α : Type*} [Fintype α] [DecidableEq α] (H : SimpleGraph α), ∃ c > (0 : ℝ), IsErdosHajnalLowerBound H (fun n : ℕ => (n : ℝ) ^ c)","0|0|0|0|0|0|0|0|0.350907564|0.087726891|0|0|0.087726891|0.175453782|0|0.175453782|0.263180673|0.175453782|0.087726891|0|0|0|0.087726891|0|0.087726891|0.087726891|0|0.087726891|0.087726891|0.087726891|0.350907564|0.087726891|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_613","erdos_613","answer(False) ↔ ∀ n ≥ 3, ∀ (V : Type*) [Fintype V] (G : SimpleGraph V), [DecidableRel G.Adj] → G.edgeFinset.card = Nat.choose (2 * n + 1) 2 - Nat.choose n 2 - 1 → ∃ (B D : SimpleGraph V), [DecidableRel B.Adj] → [DecidableRel D.Adj] → G = B ⊔ D ∧ B.IsBipartite ∧ ∀ v, D.degree v < n","0|0|0|0|0|0|0|0|0|0.25012216|0.25012216|0.0833740607|0|0.208435148|0.0416870303|0.0833740607|0.0833740607|0.166748121|0.12506108|0.291809201|0.166748121|0.0833740607|0.12506108|0.12506108|0.0416870303|0.208435148|0.0833740607|0.0416870303|0.0416870303|0.12506108|0.166748121|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_617","erdos_617.variants.r2","{r : ℕ | ∃ (V : Type) (_ : Fintype V) (_ : DecidableEq V), Fintype.card V = r^2 ∧ ∃ (coloring : Sym2 V → Fin r), ∀ (S : Finset V), S.card = r + 1 → ∀ (k : Fin r), ∃ u ∈ S, ∃ v ∈ S, u ≠ v ∧ coloring s(u, v) = k}.Infinite","0|0|0|0|0|0|0|0|0.0520357154|0.104071431|0.104071431|0.104071431|0.156107143|0.0520357154|0.104071431|0.156107143|0.208142862|0.208142862|0.104071431|0.208142862|0.104071431|0.156107143|0|0.208142862|0.208142862|0.104071431|0.0520357154|0|0.156107143|0.156107143|0.156107143|0.156107143|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.240239367|0|0|0|0|0.686398208"
"Erdos_659","erdos_659","answer(True) ↔ ∃ A : ℕ → Finset ℝ², (∀ n, #(A n) = n ∧ ∀ S ⊆ A n, #S = 4 → 3 ≤ distinctDistances S) ∧ (fun n ↦ distinctDistances (A n)) ≪ fun n ↦ n / sqrt (log n)","0|0|0|0|0|0|0|0|0|0.0562909208|0.168872759|0.0562909208|0.0562909208|0|0.0562909208|0.0562909208|0.0562909208|0.112581842|0.450327367|0.281454623|0.112581842|0.168872759|0.112581842|0.112581842|0.0562909208|0|0.0562909208|0.112581842|0.112581842|0.112581842|0.112581842|0.112581842|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.207514346|0|0|0|0|0.691714466"
"Erdos_705","erdos_705","answer(False) ↔ ∃ k, ∀ V : Set ℝ², V.Finite → (UnitDistancePlaneGraph V).girth ≥ k → (UnitDistancePlaneGraph V).chromaticNumber ≤ 3","0|0|0|0|0|0|0|0|0.103675663|0|0.103675663|0.414702654|0|0.207351327|0.103675663|0|0.103675663|0.103675663|0.31102699|0|0.103675663|0|0.103675663|0|0.207351327|0|0.103675663|0.207351327|0|0.103675663|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.10547439|0|0|0|0|0.703162551"
"Erdos_723","erdos_723","answer(sorry) ↔ ∀ {P L : Type} (_: Membership P L) (_ : Fintype P) (_ : Fintype L), ∀ pp : ProjectivePlane P L, IsPrimePow pp.order","0|0|0|0|0|0|0|0|0|0|0.0919328779|0|0|0|0.183865756|0|0.275798649|0.0919328779|0.275798649|0.275798649|0|0|0.0919328779|0.275798649|0.183865756|0|0.0919328779|0|0.0919328779|0|0.275798649|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_789","erdos_789","(fun n ↦ (subsetSumThreshold n : ℝ)) =Θ[atTop] (answer(sorry) : ℕ → ℝ)","0|0|0|0|0|0|0|0|0|0|0.160623133|0|0|0.160623133|0|0|0|0|0|0.160623133|0|0.321246266|0|0|0|0|0.160623133|0.160623133|0.160623133|0|0.4818694|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_812","erdos_812.parts.i","answer(sorry) ↔ ∃ c > 0, ∀ᶠ n in atTop, (R (n + 1) : ℝ) / (R n : ℝ) ≥ 1 + c","0|0|0|0|0|0|0|0|0.204251826|0|0|0|0.204251826|0|0.204251826|0.102125913|0.204251826|0.204251826|0.204251826|0|0.306377739|0.102125913|0.102125913|0|0|0.102125913|0|0|0|0.102125913|0.306377739|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_817","erdos_817","answer(sorry) ↔ (fun n => (3 ^ n : ℝ)) =O[atTop] fun n => (g 3 n : ℝ)","0|0|0|0|0|0|0|0|0.230204612|0|0|0.230204612|0|0.115102306|0|0|0.115102306|0.230204612|0.230204612|0|0|0|0|0|0|0|0|0.115102306|0.345306933|0|0.345306933|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_82","erdos_82","Tendsto (fun n => F n / Real.log n) atTop atTop","0|0|0|0|0|0|0|0|0|0|0|0.364920348|0|0|0|0.182460174|0|0.182460174|0|0.182460174|0|0|0|0.182460174|0|0|0.182460174|0|0.182460174|0.182460174|0|0.364920348|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_835","erdos_835","(∃ k > 2, Property k) ↔ answer(sorry)","0|0|0|0|0|0|0|0|0|0.223049864|0|0|0|0|0|0|0.223049864|0|0|0|0|0.223049864|0|0.223049864|0.223049864|0|0|0|0|0|0.446099728|0.223049864|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_865","erdos_865","∃ C > 0, ∀ᶠ (N : ℕ) in atTop, ∀ A ⊆ Icc 1 N, A.card ≥ (5 / 8 : ℝ) * N + C → ∃ a ∈ A, ∃ b ∈ A, ∃ c ∈ A, a ≠ b ∧ a ≠ c ∧ b ≠ c ∧ a + b ∈ A ∧ a + c ∈ A ∧ b + c ∈ A","0|0|0|0|0|0|0|0|0.238450333|0.039741721|0.039741721|0.119225167|0.079483442|0|0|0.158966884|0.119225167|0.119225167|0.317933768|0.039741721|0.317933768|0.119225167|0.079483442|0.079483442|0.278192073|0.039741721|0|0.079483442|0.119225167|0.158966884|0.039741721|0.079483442|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_868","erdos_868.parts.i","answer(False) ↔ ∀ (A : Set ℕ), A.IsAsymptoticAddBasisOfOrder 2 → atTop.Tendsto (fun n => ncard_add_repr A 2 n) atTop → ∃ B ⊆ A, B.IsAsymptoticAddBasisOfOrder 2 ∧ ∀ b ∈ B, ¬(B \ {b}).IsAsymptoticAddBasisOfOrder 2","0|0|0|0|0|0|0|0|0|0.268245012|0|0.268245012|0.134122506|0.0670612529|0|0.134122506|0|0.335306257|0.0670612529|0.201183751|0.134122506|0.0670612529|0|0.134122506|0.201183751|0|0.134122506|0.0670612529|0.134122506|0.0670612529|0.0670612529|0.134122506|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.140028|0|0|0|0|0.700139999"
"Erdos_89","erdos_89","(fun (n : ℕ) => n/(n : ℝ).log.sqrt) =O[atTop] (fun n => (minimalDistinctDistances n : ℝ))","0|0|0|0|0|0|0|0|0|0|0.117697977|0.353093922|0|0.353093922|0.117697977|0|0.117697977|0|0|0|0|0|0|0|0|0|0|0|0.353093922|0.117697977|0.235395953|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_893","erdos_893","answer(sorry) ↔ Tendsto (fun n : ℕ => (f (2 * n) : ℝ) / (f n : ℝ)) atTop atTop","0|0|0|0|0|0|0|0|0|0|0|0.11009638|0.11009638|0.11009638|0|0.330289125|0.22019276|0|0|0.11009638|0.22019276|0|0|0|0|0.11009638|0|0.11009638|0.11009638|0|0.44038552|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
"Erdos_899","erdos_899","answer(True) ↔ ∀ (A : Set ℕ), A.Infinite → Tendsto (fun N => (A ∩ Icc 1 N |>.ncard : ℝ) / N) atTop (𝓝 0) → atTop.limsup (fun N => ((A - A : Set ℕ) ∩ Icc 1 N |>.ncard : EReal) / (A ∩ Icc 1 N).ncard) = ⊤","0|0|0|0|0|0|0|0|0|0|0.244687602|0.163125068|0.163125068|0|0|0.407812685|0.040781267|0.040781267|0|0.203906342|0.163125068|0.040781267|0.203906342|0.040781267|0|0.081562534|0.081562534|0|0.203906342|0.040781267|0.040781267|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.303217679|0|0|0|0|0.673817098"
"Erdos_9","erdos9A_contains_one","1 ∈ Erdos9A","0|0|0|0|0|0|0|0|0|0|0.49999997|0.49999997|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.707106769"
"Erdos_90","erdos_90","answer(False) ↔ ∃ (O : ℕ → ℝ) (hO : O =O[atTop] (fun n => 1 / (n : ℝ).log.log)), (fun n => (maxUnitDistances n : ℝ)) =ᶠ[atTop] fun (n : ℕ) => (n : ℝ) ^ (1 + O n)","0|0|0|0|0|0|0|0|0.0683985576|0.0683985576|0.205195665|0.205195665|0.0683985576|0.136797115|0.136797115|0.0683985576|0.136797115|0.205195665|0.136797115|0|0.205195665|0.136797115|0.0683985576|0|0|0|0.0683985576|0|0.27359423|0.0683985576|0.27359423|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.333333343|0|0|0|0|0.666666687"
"Erdos_91","erdos_91","(∀ᶠ n : ℕ in atTop, ¬ UniqueMinimizer n) ↔ answer(sorry)","0|0|0|0|0|0|0|0|0|0.20361574|0|0|0.20361574|0.20361574|0|0|0|0|0|0|0|0.40723148|0|0|0|0.20361574|0.20361574|0.20361574|0|0|0.20361574|0.20361574|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0705345646|0|0|0|0|0.705345631"
"Erdos_918","erdos_918.parts.i","answer(sorry) ↔ ∃ (V : Type u) (G : SimpleGraph V), #V = ℵ_ 2 ∧ G.chromaticCardinal = ℵ_ 2 ∧ ∀ (W : Set V) (_ : #W = ℵ₁), (G.induce W).chromaticCardinal ≤ ℵ₀","0|0|0|0|0|0|0|0|0.147474021|0|0.0737370104|0|0.0737370104|0.147474021|0.147474021|0.0737370104|0.294948041|0.294948041|0.0737370104|0.294948041|0.0737370104|0.0737370104|0.221211046|0|0.147474021|0|0.147474021|0|0|0|0.147474021|0.0737370104|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.207514346|0|0|0|0|0.691714466"
"Erdos_920","erdos_920","answer(sorry) ↔ ∀ k : ℕ, k ≥ 4 → ∃ c > 0, (fun n ↦ f k n) ≫ (fun n ↦ (n : ℝ) ^ (1 - 1 / ((k : ℝ) - 1)) / (log n) ^ c)","0|0|0|0|0|0|0|0|0.139617965|0.209426954|0|0.0698089823|0.139617965|0|0.139617965|0.0698089823|0.0698089823|0.0698089823|0.0698089823|0|0|0.209426954|0.139617965|0.0698089823|0.139617965|0.139617965|0.209426954|0.0698089823|0.139617965|0.139617965|0.349044919|0.139617965|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.272165537|0|0|0|0|0.680413842"
"Erdos_97","erdos_97","answer(sorry) ↔ ∀ A : Finset ℝ², A.Nonempty → ConvexIndep A → ¬HasNEquidistantProperty 4 A","0|0|0|0|0|0|0|0|0.282666087|0|0|0|0|0.141333044|0|0.282666087|0.141333044|0.282666087|0|0|0.282666087|0|0.282666087|0|0|0.141333044|0|0|0.141333044|0|0.141333044|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0353332609|0|0|0|0|0.706665218"
"Erdos_98","erdos_98","answer(sorry) ↔ Tendsto (fun n : ℕ ↦ ((h n : ℝ) / (n : ℝ))) atTop atTop","0|0|0|0|0|0|0|0|0|0.129301637|0|0|0.129301637|0.129301637|0|0.258603275|0.129301637|0|0.129301637|0.129301637|0.129301637|0|0|0|0|0|0|0|0.129301637|0|0.51720655|0.129301637|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.17407766|0|0|0|0|0.696310639"
